ScenId,AID,ProjDate,Variable,Field1,Proj0,Proj1,Proj2,Proj3,Proj4,Proj5,Proj6,Proj7,Proj8,Proj9,Proj10
001,12556,20170631,BV,0,12795373.43,11805430.15,9871393.047,8513368.935,7098581.026,6476285.005,6116275.922,5628954.961,4726646.888,4068325.264,3947857.078
001,12556,20170631,ME,0,12954036.06,11951817.48,9993798.32,8618934.71,7186603.431,6556590.94,6192117.743,5698754.002,4785257.309,4118772.497,3996810.506
001,12556,20170631,Interest,0,1915403.651,3765095.319,4256988.729,3085061.905,128344.329,537877.595,57366.12419,1530264.898,997756.8098,1212407.696,280158.5463
001,12556,20170631,PrinPmt,0,989943.2811,1934037.102,1358024.112,1414787.909,622296.0205,360009.0836,487320.9613,902308.073,658321.624,120468.1855,93170.47458
001,12798,20170631,BV,0,14525690.72,12781005.66,10558342.17,9620030.729,9051754.688,8452074.21,7660694.173,6714679.704,6479971.907,6045547.969,5518696.216
001,12798,20170631,ME,0,14705809.28,12939490.13,10689265.61,9739319.11,9163996.446,8556879.93,7755686.781,6797941.733,6560323.559,6120512.764,5587128.05
001,12798,20170631,Interest,0,7219589.875,5960293.084,1931926.229,1439760.554,2015233.728,2594648.173,807159.5963,1003885.683,931179.7873,235755.9158,2210445.484
001,12798,20170631,PrinPmt,0,1744685.06,2222663.491,938311.4384,568276.0417,599680.4775,791380.0372,946014.4687,234707.7969,434423.938,526851.7529,191525.4983
001,13126,20170631,BV,0,13475695.54,10815103.01,9400032.955,7769002.559,7482244.742,7017836.818,5817949.428,5770150.413,4928632.158,4785257.316,4465927.665
001,13126,20170631,ME,0,13642794.16,10949210.29,9516593.364,7865338.191,7575024.576,7104857.994,5890092.001,5841700.279,4989747.197,4844594.507,4521305.168
001,13126,20170631,Interest,0,403773.2003,3367189.623,532527.5469,218366.7609,269854.9088,94533.86372,2198412.654,1499899.288,530406.6241,256808.7751,753158.2311
001,13126,20170631,PrinPmt,0,2660592.524,1415070.056,1631030.396,286757.8175,464407.9239,1199887.39,47799.01482,841518.2549,143374.8427,319329.6512,827783.3612
