ScenId,AID,ProjDate,Variable,Field1,Proj0,Proj1,Proj2,Proj3,Proj4,Proj5,Proj6,Proj7,Proj8,Proj9,Proj10
000,12556,20170631,BV,,12795373.43,11805430.15,11243041.18,10644163.61,9861135.942,9249970.108,7599660.853,7197318.537,7126554.036,6384691.376,5518866.332
000,12556,20170631,ME,,12954036.06,11951817.48,11382454.89,10776151.24,9983414.028,9364669.737,7693896.648,7286565.287,7214923.307,6463861.549,5587300.275
000,12556,20170631,Interest,,1915403.651,1516677.982,2072155.992,1700134.537,2972723.124,48001.355,2202552.932,1060267.629,596630.9945,2218943.206,879108.2478
000,12556,20170631,PrinPmt,,989943.2811,562388.9689,598877.565,783027.6726,611165.8344,1650309.255,402342.3162,70764.5007,741862.6608,865825.0436,571812.1282
000,12798,20170631,BV,,14525690.72,12781005.66,11534026.26,9412335.246,8657705.887,7339824.525,6214912.294,5480131.437,4812983.635,3867430.97,3164418.847
000,12798,20170631,ME,,14705809.28,12939490.13,11677048.18,9529048.203,8765061.44,7430838.349,6291977.206,5548085.067,4872664.632,3915387.114,3203657.641
000,12798,20170631,Interest,,7219589.875,5836517.265,4179103.628,50765.16391,926391.2414,314007.6065,1366909.18,1515094.403,2359011.338,535648.8052,147456.0342
000,12798,20170631,PrinPmt,,1744685.06,1246979.4,2121691.013,754629.3589,1317881.362,1124912.232,734780.8562,667147.8024,945552.665,703012.1228,552250.1489
000,13126,20170631,BV,,13475695.54,10815103.01,9553559.007,9018908.847,7456053.396,6094624.278,5492755.018,5481480.691,5093136.536,4894889.517,4310305.059
000,13126,20170631,ME,,13642794.16,10949210.29,9672023.138,9130743.317,7548508.458,6170197.619,5560865.18,5549451.052,5156291.429,4955586.147,4363752.842
000,13126,20170631,Interest,,403773.2003,2113812.238,990800.2189,1934561.464,1451399.746,36762.33535,2037643.074,870356.3475,387149.8785,1668863.67,1269944.559
000,13126,20170631,PrinPmt,,2660592.524,1261544.005,534650.1598,1562855.451,1361429.118,601869.2595,11274.32705,388344.1548,198247.0194,584584.4578,303476.0685
